,a,b
106,"[380.19213592305175, -1103.0164359636778, -1028.489895543398, 2420.1511059906065]","[-1.2999409755425873, 3.7610120831486595, 3.492694000158426, -8.207906909695573]"
107,"[1931.5045469991428, -1198.037108030131, -923.7830472631867, 1847.6975637204655]","[-6.588232688334172, 4.090453690987493, 3.141906283441203, -6.275961356919216]"
108,"[-958.7415903892232, -691.0879330823667, -1040.5827330361178, 701.7703943337585]","[3.272846809512032, 2.362869550819367, 3.5449155712795597, -2.386124844810022]"
109,"[1171.9771524764103, 254.30265734292996, -1640.706235550489, 108.31908558584755]","[-4.016002098430153, -0.8687701529355648, 5.596754989885572, -0.3694280741761751]"
110,"[624.9596294994791, -412.2230146875487, -1304.7241341787103, -374.4625749127815]","[-2.1425575920154025, 1.4101223509481655, 4.454554207694521, 1.2729811869982068]"
111,"[-1136.5726699021416, -200.36595921438567, -1044.473813505636, -458.18169794328713]","[3.901783527133897, 0.6865099146860748, 3.5713241665565, 1.5555629535506525]"
112,"[-990.2369092187026, 447.6259839831902, -719.9449055532378, -191.7583609177992]","[3.4148763953010617, -1.5387424089789135, 2.464252113981404, 0.6481913711302061]"
113,"[-1422.891189431881, 740.7082415351895, 71.29797880854925, 329.683750509582]","[4.917858178474967, -2.5475824385488806, -0.24332506952579772, -1.1236459754536277]"
114,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
115,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
116,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
117,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
118,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
119,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
120,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
121,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
122,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
123,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
124,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
125,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
126,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
127,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
128,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
129,"[-568.8967874596121, 365.91827814140163, 761.503339768929, -706.4031511186452]","[1.9053188235596643, -1.224126406111007, -2.543431269732883, 2.3518840367916143]"
130,"[-308.3433364496328, -148.58771267928103, 1195.6651744784176, -1110.3339135112765]","[1.033515468365459, 0.4967914190371467, -3.9917149156011975, 3.7004631426094337]"
131,"[-947.1255174338497, 128.62086680966786, 1561.1198839283109, -819.2057719818444]","[3.1769804148912417, -0.42948604354674563, -5.217930183329353, 2.7348531845847632]"
132,"[-3047.7915005238433, 537.4505175913844, 231.88913720629017, 2550.7783365043765]","[10.226807921473501, -1.8023586721909828, -0.7740794691655114, -8.521969034416365]"
133,"[-4244.887557105947, 425.18039341461235, 1331.2415756900334, 12.668013875033743]","[14.262898121357866, -1.4283674329914555, -4.457773173995563, -0.04172492818059991]"
134,"[-4125.543454693096, -2089.1928903738512, 476.3405564253356, -1287.546024232111]","[13.88297220318807, 7.0160400570196, -1.5947476544675767, 4.314966616517112]"
135,"[-5172.079292448355, -1638.6158196314993, 558.0028382260897, -1214.3736063019153]","[17.420376858505154, 5.512261154245262, -1.8716729092648905, 4.080841149796335]"
136,"[-4302.688462397232, -1873.5662811234479, 620.0333171273711, -1272.3126066762939]","[14.512754497327776, 6.312750241559627, -2.08311316454279, 4.282111685425378]"
137,"[-6020.456936489872, -4700.077542776566, 1271.8839196384718, -1323.9024113745202]","[20.318925223513606, 15.871280850191276, -4.284977048218792, 4.46413915447783]"
138,"[-3643.499751227861, -3867.860518517661, 2612.127900766031, -734.1849362352436]","[12.327667092064292, 13.082413841544902, -8.825163237293248, 2.4816257780632864]"
139,"[-5500.937056102468, -3313.7256958327307, 1669.004802581309, -710.2907776529345]","[18.638399513087784, 11.234880639186049, -5.6442918594095906, 2.4036923718315166]"
140,"[-4489.272313208279, -5878.751893222224, 1645.9620422899422, -358.92991064885547]","[15.234840865931597, 19.969439667691585, -5.5764655716074065, 1.2184541629751964]"
141,"[-3321.121711060175, -6502.90267911714, 1630.9764714833946, -143.8830681368956]","[11.29870167357041, 22.1086000296055, -5.5302264013227225, 0.4906755657615694]"
142,"[-2045.976596008713, -2710.6538468515, 1468.0331320295636, -61.740796979494405]","[6.9667305681851435, 9.241591594907472, -4.9861430063853645, 0.21185208177658219]"
