,a,b
228,"[663.9621760277804, -61.33963550286439, 377.94521661833596]","[-2.199682831673587, 0.20746082695504894, -1.2515268990992496]"
229,"[733.0516406517758, -8902.437750804347, 7892.425350204076]","[-2.4301543834242083, 29.48073074307445, -26.147149801824366]"
230,"[-171.12048759132264, -11435.849753774943, 9866.788695834397]","[0.5606978570407274, 37.885902771657975, -32.69514591024908]"
231,"[-2428.1838034778543, -7420.684085229705, 19350.348607627027]","[8.034105982373479, 24.604880645843984, -64.15609315178867]"
232,"[-981.3079934376217, -7429.75443047756, 21645.04484077764]","[3.235695083832655, 24.656388701137057, -71.78604344985462]"
233,"[-1983.3794808840494, -8600.053648077122, 14830.08810126346]","[6.5592924603039355, 28.562702833268713, -49.21407029795117]"
234,"[-1836.2042867061655, -8815.790468140362, 12488.534202801842]","[6.069588278989868, 29.296937315850904, -41.453642425026395]"
235,"[-261.7354418455071, -9113.118204504763, 13978.524812630189]","[0.831986257854494, 30.311699335573827, -46.45533238711327]"
236,"[181.04364879943836, -10261.318802415679, 10113.806145713053]","[-0.6452605849846753, 34.161283607598854, -33.639153904569234]"
237,"[674.218066151041, 493.574675378627, 8414.680212766943]","[-2.2923865853658496, -1.6004339437908008, -28.00792655642917]"
238,"[-1988.1334661388091, 12259.796359119126, 9253.104672457894]","[6.579232686621595, -40.78521080936478, -30.811889100209477]"
239,"[-610.758077074216, 9513.95508054857, 7790.6590683486575]","[1.9906090198663562, -31.67523615614861, -25.961603843874258]"
240,"[-1769.1544310492063, 12705.15554626945, 6789.56460447041]","[5.865330772885812, -42.364028376724576, -22.642078889209756]"
241,"[440.2451300565321, 8201.252443357414, 10183.590558309628]","[-1.5080057244504397, -27.362452631853582, -33.970397100457895]"
242,"[489.29866760236655, -1311.1891754790893, 9124.40882517001]","[-1.6651734683853736, 4.404787175180508, -30.452645429790124]"
243,"[729.0934437416795, 7236.062548911579, 5720.487904339759]","[-2.460772360531488, -24.194669636001947, -19.111766803463404]"
244,"[-765.7344413855097, 6647.1803603887765, 6224.660349151319]","[2.558842124717203, -22.261517263629617, -20.809051896441936]"
245,"[59.22406984448079, 26.047022543308092, 4087.642879032828]","[-0.20171644135658617, -0.07823584317674205, -13.655286233722988]"
246,"[452.61414024645046, -2974.0303673219682, 121.48156208202889]","[-1.5145703033846183, 9.992134230952121, -0.367786549178835]"
247,"[55.91023444327402, 368.85920189289067, -1897.753711317963]","[-0.1694615057599273, -1.2347437016993017, 6.398227586586244]"
248,"[-1092.9984508984826, 3526.2900626380338, -928.0691792301086]","[3.712913427867599, -11.839769980028786, 3.15241031051523]"
249,"[-287.11563998309714, 2730.9207820620654, -3873.832763796825]","[1.0063285426023951, -9.179307173578339, 13.02205401756132]"
250,"[184.24038372594768, 2720.3919649967997, -2261.9249683357493]","[-0.5756398817184472, -9.143568741535475, 7.6224025818574885]"
251,"[1359.4983793310346, 2185.598216685718, -3001.245521098119]","[-4.5349141202418295, -7.359432808230619, 10.093147046811737]"
252,"[2043.3614687795332, 2350.033302115369, -3427.3991579185645]","[-6.846772072286963, -7.911061675483216, 11.494932936107661]"
