,a,b
185,"[-1732.5050485148565, 15361.749759815575, 1560.4042295668153]","[5.677113160540035, -50.845747466383905, -5.154404302560853]"
186,"[326.5019921521117, 1482.8923438033034, 4891.375200653076]","[-1.136904735451529, -4.8788473278076205, -16.1709349395158]"
187,"[-2721.910325880845, 7013.4142088706385, 10748.147215907933]","[8.963625391731048, -23.21108102761377, -35.51121186769189]"
188,"[2936.5675348638933, -3892.9216948597223, 17953.636945787202]","[-9.769317841443607, 12.860437377686278, -59.286098644705255]"
189,"[3027.426045986624, 2161.125701226137, 26400.36124849499]","[-10.072773547125044, -7.178592770303017, -87.1671433110421]"
190,"[-8357.828297897438, 11430.589285985488, 24121.348459193036]","[27.628126837355516, -37.789701226375186, -79.65332022781786]"
191,"[-22471.760646108494, 24163.71934726999, 16950.96181561028]","[74.24179370200488, -79.73969364412581, -55.99850473397426]"
192,"[-16032.036272501204, 26761.146948169207, 5195.146568413462]","[52.9620951270803, -88.28680793932499, -17.163614149415483]"
193,"[-17823.929487423393, 8917.049371447189, 7159.890913935678]","[58.88320541897364, -29.450247487423223, -23.63664240747073]"
194,"[-20975.37958111911, 7072.809198589478, 7689.505790800676]","[69.33627937623922, -23.357809344639893, -25.411676795658767]"
195,"[-19774.487804884757, 1946.4641710851247, 9289.724281543868]","[65.4075355615346, -6.458270978522843, -30.704282294461883]"
196,"[-13247.109180805393, 17965.591813473333, 12661.296832902935]","[43.77381759973405, -59.28287823864666, -41.77941778513265]"
197,"[nan, nan, nan]","[nan, nan, nan]"
198,"[nan, nan, nan]","[nan, nan, nan]"
199,"[-6961.035659604434, 2577.0981500391576, -736.530963369696]","[22.986341771940705, -8.511275072930374, 2.3827568200470592]"
200,"[-2179.004124315477, 15765.938372005168, 18431.98177588921]","[7.226673877066214, -52.121498163817634, -60.90590009726637]"
201,"[nan, nan, nan]","[nan, nan, nan]"
202,"[16694.24441852077, 17077.535056370252, 2232.2319531057487]","[-55.165227700056946, -56.525311746372246, -7.39650238859668]"
203,"[5600.847096283792, 14520.68499376782, 1472.0562060693226]","[-18.462469013824137, -48.07022655285659, -4.876703209610086]"
204,"[10920.308179164598, 16075.742359552241, -1136.3211738863906]","[-36.119256703206595, -53.200827651777004, 3.7344875618228506]"
205,"[8531.410286171085, 1197.7731815197917, -6523.478690492619]","[-28.188374550964625, -3.974926403830562, 21.557075998456565]"
206,"[6631.092097378614, -8033.621556674169, -80.56276719077675]","[-21.897856447776455, 26.564036522885672, 0.244884805580756]"
207,"[1785.1764031261591, 413.91790835134077, -6543.4534735834]","[-5.854328354569045, -1.3562858738141592, 21.620173258630693]"
208,"[6129.760923173411, -4692.780275960395, -8246.069147878436]","[-20.201278983373783, 15.520423963818885, 27.26174205467006]"
209,"[10040.24935399414, -1781.8256454146551, -11187.25300969371]","[-33.09225896449839, 5.914951525915418, 36.97009456931822]"
210,"[11005.604979004938, 1869.2505216737723, -9952.70819614191]","[-36.285755245476665, -6.101642955431451, 32.890567796525524]"
211,"[9234.655885920274, 18546.018262453705, -7264.451947960935]","[-30.44253676083437, -61.144589850822484, 23.987613278791855]"
212,"[-509.9274439608932, 10057.629237543568, -6451.572522070825]","[1.7384114259648622, -33.12997063122279, 21.301755276584657]"
213,"[-2238.390129673791, 4034.8603086978483, -1665.0275337322041]","[7.434683699915146, -13.266126990726878, 5.460482060815235]"
214,"[944.5029271157757, 7216.001922480401, 10739.526195270191]","[-3.121184241164827, -23.75132892171889, -35.52430819312597]"
215,"[-927.2999036877239, 5317.35387002415, 7088.802682680671]","[3.030953225909088, -17.482978422005083, -23.455944712127984]"
216,"[2866.849650277458, -909.7930428626423, -23277.85123906273]","[-9.498970588960125, 3.038453172570824, 76.83346688531178]"
217,"[5557.206307856957, 31860.650472120487, 2034.822092281464]","[-18.37985562183488, -105.1161147980005, -6.728557081121055]"
218,"[7833.630809637743, 15743.263675946324, 19868.052005965073]","[-25.880018867044154, -51.926059766854166, -65.50954295000685]"
219,"[17965.880249562033, 21321.145093263276, 10732.843652872969]","[-59.25208809134586, -70.3492743107628, -35.301414806724765]"
220,"[12481.963816316458, 19877.353688964988, 2624.131609587152]","[-41.214657361807845, -65.66687913557212, -8.506696386814497]"
221,"[24878.36808993197, 18536.059502680495, -5554.497375675909]","[-82.14226887042895, -61.26549012119898, 18.469837296803913]"
222,"[21880.007586250784, 16476.055478698145, 12501.296195241643]","[-72.29939363781997, -54.48220840640661, -41.1924661232292]"
223,"[15231.384085075259, -3788.867831874855, 9854.500033867487]","[-50.33184471548635, 12.46499222913841, -32.485992754098994]"
224,"[12848.751383278704, -877.9784753108875, -623.6471100010998]","[-42.46409058030521, 2.8373362663392565, 2.122826441025173]"
225,"[29856.473913946626, -12121.958669370684, -11141.195355741576]","[-98.72826222738449, 40.03233390876901, 36.842503059468854]"
226,"[30326.064293588235, -7682.7215576272065, 10990.68653874668]","[-100.3036974813988, 25.346932489729006, -36.30917401611931]"
227,"[25231.397819465332, -133.100756679324, 30682.73186919932]","[-83.4568538445058, 0.3699123693306795, -101.44343067535495]"
228,"[21436.618295113833, 1691.501554256941, 2371.48559783708]","[-70.90710972749919, -5.649598394030968, -7.830013869770552]"
229,"[16013.242835931147, 22565.644997714437, 40304.0536087623]","[-52.974236378340265, -74.74036449301047, -133.48207484948094]"
230,"[7761.0388327516175, 9996.719637871423, 63664.06563241538]","[-25.699949468241968, -33.11826907669443, -210.87886731817306]"
231,"[6506.6242133797505, 29988.63496837076, 29236.367493994556]","[-21.594838540772933, -99.32885055280798, -96.92882546845223]"
232,"[5859.455762301923, 19405.81078549207, 18200.1427098359]","[-19.467322626377143, -64.30792796120241, -60.38237556408836]"
